Date,Close_AMZN,Close_GOOGL,Close_META,Close_MSFT,Close_NVDA,Close_SPY,Close_TSLA,High_AMZN,High_GOOGL,High_META,High_MSFT,High_NVDA,High_SPY,High_TSLA,Low_AMZN,Low_GOOGL,Low_META,Low_MSFT,Low_NVDA,Low_SPY,Low_TSLA,Open_AMZN,Open_GOOGL,Open_META,Open_MSFT,Open_NVDA,Open_SPY,Open_TSLA,Volume_AMZN,Volume_GOOGL,Volume_META,Volume_MSFT,Volume_NVDA,Volume_SPY,Volume_TSLA
2014-01-02,19.898500442504883,27.62751579284668,54.28401565551758,30.694442749023438,0.3738436698913574,148.58026123046875,10.006667137145996,19.968000411987305,27.74243172534087,54.790046809068436,30.892685962414667,0.37667226731255404,149.51437812538663,10.165332794189453,19.701000213623047,27.506890668387985,53.76806402944397,30.644881157933384,0.37054367703248703,148.22286084592577,9.770000457763672,19.940000534057617,27.685593295332467,54.40308403576204,30.851383061021803,0.37525796860195576,149.44126448728082,9.986666679382324,42756000,72783144,43195500,30632200,260092000,119636900,92826000
2014-01-03,19.82200050354004,27.425975799560547,54.13517379760742,30.48793601989746,0.3693651854991913,148.55592346191406,9.970666885375977,20.135499954223633,27.72207626049636,55.21668674142216,30.74399947354279,0.3752580512590328,149.13264008608542,10.145999908447266,19.81100082397461,27.424239206536182,54.10540481668055,30.231872566252132,0.36818661234722294,148.34473791766925,9.90666675567627,19.914499282836914,27.674174290384133,54.591591131879305,30.727478945794527,0.37455090174797173,148.83209203382927,10.0,44204000,66601332,38246200,31134800,259332000,81390600,70425000
2014-01-06,19.681499481201172,27.73175811767578,56.75462341308594,29.84365463256836,0.37431517243385315,148.1254119873047,9.800000190734863,19.850000381469727,27.769980192333747,56.81415381165718,30.47141900452086,0.37714374214033475,149.1001325496372,10.026666641235352,19.42099952697754,27.461717883310516,53.629148798272034,29.827134102915814,0.3696008521238531,147.89797760256857,9.682666778564453,19.792499542236328,27.624785493188835,53.99626680110901,30.43837794521577,0.3731365712818046,149.04328015057538,10.0,63412000,70701228,68852600,43603700,409492000,108028200,80416500
2014-01-07,19.901500701904297,28.26637840270996,57.46900939941406,30.07493019104004,0.3804437518119812,149.03515625,9.957332611083984,19.923500061035156,28.286979164043593,58.094105021819786,30.141012297445105,0.3818580507757541,149.28695773058615,10.026666641235352,19.714500427246094,27.82706574848501,56.774462913401564,29.909728075995638,0.3754937616375746,148.6046545455956,9.683333396911621,19.75200080871582,27.922374064142595,57.25072498309348,30.008851235603235,0.37808660560529256,148.71837174309402,9.841333389282227,38320000,102001896,77207400,35802800,333288000,86144200,75511500
2014-01-08,20.09600067138672,28.3252010345459,57.77659225463867,29.53801727294922,0.3856295943260193,149.067626953125,10.085332870483398,20.149999618530273,28.476354626927172,57.95519098930478,29.85190090383765,0.38751531739232586,149.31942838809132,10.24666690826416,19.802000045776367,28.12813176948302,56.78437874426879,29.38933886986263,0.38044384886882454,148.5558934599723,9.917332649230957,19.923500061035156,28.44359203895862,57.151496683307286,29.736260395343894,0.38185814819340613,149.01076216755573,9.923333168029785,46330000,89610300,56682400,59971700,308192000,96582300,92448000
2014-01-09,20.050500869750977,28.052433013916016,56.77446746826172,29.348054885864258,0.3712509572505951,149.1650848388672,9.835332870483398,20.344499588012695,28.399414931326877,58.50091713627894,29.66193871887557,0.38044381781170666,149.56310112726982,10.228667259216309,19.922000885009766,27.93627611520823,56.20890597856696,29.240676145098718,0.37007238394279085,148.48278182524143,9.789999961853027,20.18549919128418,28.38005513292329,58.193333320652364,29.637159494232687,0.3797366682071433,149.54685227620962,10.166666984558105,42060000,83296620,92253300,36516300,292172000,90683400,80730000
2014-01-10,19.882999420166016,28.05094337463379,57.488853454589844,29.769319534301758,0.37077945470809937,149.5712432861328,9.714667320251465,20.187999725341797,28.271840672858414,57.84605094893917,29.860180889333332,0.375022323655454,149.63622630652858,9.926667213439941,19.690000534057617,27.854120024711452,56.61570822950752,29.529776534849336,0.3674794611376015,148.65337516512767,9.483332633972168,20.12649917602539,28.271840672858414,56.68516287729829,29.653678955523194,0.3724294795927486,149.4169101619733,9.897333145141602,53590000,85654260,42449500,40548800,218492000,102026400,111691500
2014-01-13,19.548999786376953,27.87224006652832,55.47466278076172,28.89374542236328,0.36205798387527466,147.58116149902344,9.28933334350586,19.98900032043457,28.466177612906723,57.796442779438514,29.75279408118298,0.3731365647565729,149.60370344394303,9.800000190734863,19.422500610351562,27.728034736174827,54.94879077868783,28.769846173148412,0.36135083443617105,147.29686238187614,9.187999725341797,19.89900016784668,27.958859742135772,57.4590900006566,29.728014861533794,0.37077941869249254,149.18945070209918,9.718667030334473,56898000,96659244,63010900,45901900,243332000,149892000,94741500
2014-01-14,19.87700080871582,28.527978897094727,57.29042053222656,29.554550170898438,0.37337225675582886,149.18943786621094,10.751333236694336,19.931499481201172,28.56769164003015,57.330106203511875,29.637152819386984,0.3740794061308281,149.27066971961884,10.800000190734863,19.56450080871582,27.99906713373135,55.66318688969267,28.604643345546553,0.36229364877943016,147.79233426843194,9.111332893371582,19.60650062561035,28.243790551184038,56.020384426224624,28.687242843066244,0.36394367335422656,148.06850273923365,9.366666793823242,46802000,99204696,37503600,41623300,241828000,105016100,414105000
2014-01-15,19.793500900268555,28.50861930847168,57.1515007019043,30.364036560058594,0.37737953662872314,149.9936065673828,10.942000389099121,19.965499877929688,28.666970868986922,58.11394908583559,30.388818929550734,0.37879383589420457,150.22104091108645,11.482000350952148,19.62649917602539,28.388739527071916,56.82407218865613,29.612369805485233,0.37337239284239954,149.2219534445139,10.80666732788086,19.94700050354004,28.617082598404565,57.52854292215487,29.65367270431587,0.375022389919191,149.53873787997554,11.229999542236328,53566000,77929992,33663400,44812600,175044000,98525800,306984000
