,start_date,end_date,n_observations,total_return_%,annual_return_%,annual_volatility_%,sharpe_simple,max_drawdown_%,corr_with_SPY,beta_vs_SPY,annual_alpha_%
NVDA,2014-01-02,2024-06-28,2640,32929.97447726867,66.22117827132169,46.69776014850674,1.4180803974479117,-66.3350909681083,0.6307530850491815,1.7059928908951716,42.85336620644703
MSFT,2014-01-02,2024-06-28,2640,1333.5967898046872,29.011637139200158,26.743086151211383,1.0848275690831597,-37.14848142683728,0.787854736307452,1.220336095305892,12.29610175609092
AMZN,2014-01-02,2024-06-28,2640,871.1787104680594,27.09021550832978,32.832705867034804,0.8250984740045235,-56.14526325328263,0.6131663856465364,1.1660221433705422,11.118644668155952
SPY,2014-01-02,2024-06-28,2640,258.7313434981746,13.697485018599966,17.265462497385816,0.7933459657205199,-33.71727297052123,1.0,1.0000000000000004,-5.464378949326942e-15
TSLA,2014-01-02,2024-06-28,2640,1877.4816347018864,43.87957232047957,55.533871963824225,0.7901406973578851,-73.63221744219119,0.46077235911307834,1.48206126533415,23.579060341917728
GOOGL,2014-01-02,2024-06-28,2640,554.6524057156589,21.83013604806299,27.90080380125954,0.7824196106879725,-44.3200557821228,0.7216080442447441,1.1661109261875666,5.857349106583065
META,2014-01-02,2024-06-28,2640,823.5168878870521,28.386754667021062,37.63615003261359,0.7542417235137635,-76.73609057246625,0.598887350417396,1.3054856871836698,10.504884024826062
