Date,AMZN,GOOGL,META,MSFT,NVDA,SPY,TSLA
2014-01-02,19.898500442504883,27.62751579284668,54.28401565551758,30.694442749023438,0.3738436698913574,148.58026123046875,10.006667137145996
2014-01-03,19.82200050354004,27.425975799560547,54.13517379760742,30.48793601989746,0.3693651854991913,148.55592346191406,9.970666885375977
2014-01-06,19.681499481201172,27.73175811767578,56.75462341308594,29.84365463256836,0.37431517243385315,148.1254119873047,9.800000190734863
2014-01-07,19.901500701904297,28.26637840270996,57.46900939941406,30.07493019104004,0.3804437518119812,149.03515625,9.957332611083984
2014-01-08,20.09600067138672,28.3252010345459,57.77659225463867,29.53801727294922,0.3856295943260193,149.067626953125,10.085332870483398
2014-01-09,20.050500869750977,28.052433013916016,56.77446746826172,29.348054885864258,0.3712509572505951,149.1650848388672,9.835332870483398
2014-01-10,19.882999420166016,28.05094337463379,57.488853454589844,29.769319534301758,0.37077945470809937,149.5712432861328,9.714667320251465
2014-01-13,19.548999786376953,27.87224006652832,55.47466278076172,28.89374542236328,0.36205798387527466,147.58116149902344,9.28933334350586
2014-01-14,19.87700080871582,28.527978897094727,57.29042053222656,29.554550170898438,0.37337225675582886,149.18943786621094,10.751333236694336
2014-01-15,19.793500900268555,28.50861930847168,57.1515007019043,30.364036560058594,0.37737953662872314,149.9936065673828,10.942000389099121
2014-01-16,19.790000915527344,28.697250366210938,56.74469757080078,30.47141456604004,0.37855803966522217,149.7986602783203,11.39799976348877
2014-01-17,19.980499267578125,28.556026458740234,55.86162567138672,30.050153732299805,0.37690797448158264,149.1650848388672,11.333999633789062
2014-01-21,20.352500915527344,28.882905960083008,58.054420471191406,29.876699447631836,0.3783222436904907,149.6037139892578,11.778667449951172
2014-01-22,20.226999282836914,28.915666580200195,57.06221008300781,29.678449630737305,0.3778509199619293,149.70123291015625,11.904000282287598
2014-01-23,19.993499755859375,28.793554306030273,56.189056396484375,29.785829544067383,0.376436710357666,148.47470092773438,12.100000381469727
2014-01-24,19.3799991607666,27.89333724975586,54.02603530883789,30.40534210205078,0.36677226424217224,145.3068084716797,11.640000343322754
